title,company,location,link,description
Data Analyst,PepsiCo,"Plano, TX",https://www.linkedin.com/jobs/view/data-analyst-at-pepsico-3838919219?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=6DXyNV8oudBS4%2BQeTHZnnw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"OverviewThis is a junior data analyst who will play a key role supporting the organization's data-driven initiatives. This role will work closely with IT functional teams, supply chain business partners, and other cross-functional teams to collect, process, analyze, and visualize data to provide valuable insights and analytics that contribute to tactical and strategic decision-making. Specifically, this role will support the FLNA manufacturing business function to include 38 manufacturing plants across US and Canada, 200 processing lines, 1900 packaging linesResponsibilitiesGather, cleanse, model, interpret and present data-based recommendations to solve business problemUnderstand data governance methodologies and assist the data team with data governance and data modeling activitieCreate visualizations, such as charts and graphs, and write reports or summaries, that effectively present information to relevant stakeholderDocument data flow diagrams and provide guidance and recommendations on how we can improve data flows between systemSolve data-related issues and complete adhoc and planned data query requestsCompensation & Benefits:The expected compensation range for this position is between $66,300 - $111,000 based on a full-time scheduleLocation, confirmed job-related skills and experience will be considered in setting actual starting salary Bonus based on performance and eligibility; target payout is 5% of annual salary paid out annuallyPaid time off subject to eligibility, including paid parental leave, vacation, sick, and bereavementIn addition to salary, PepsiCo offers a comprehensive benefits package to support our employees and their families, subject to elections and eligibility: Medical, Dental, Vision, Disability, Health and Dependent Care Reimbursement Accounts, Employee Assistance Program (EAP), Insurance (Accident, Group Legal, Life), Defined Contribution Retirement QualificationsBachelor's degree in Data Science, Statistics, Mathematics, Computer Science, or a related field2+ years in a data related role or academic programProficiency in database, data manipulation and analysis using tools like SQL and PythonFamiliarity with data visualization tools (e.g., Tableau, Power BI).Data cleaning and reprocessing tools and techniquesMachine learning basics and algorithmsExpert in Microsoft Excel and PowerPoint applicationsStrong critical thinking, problem solving, and curiosityExcellent communication and collaboration skills and be able to present complex data insights in a clear and understandable mannerEagerness to learn and adapt in a fast-paced, collaborative environmentStrong business acumen and be able to articulate how their work is aligned with organizational goals and prioritiesEffective time management skillsHigh attention to detailEEO StatementAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability statusPepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender IdentityIf you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO PolicyPlease view our Pay Transparency Statement
        


        
            Show more
          

          



        
            Show less"
Data Analyst,MailOnline,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-mailonline-3837839723?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=wVS8DXeXQ7oQhTLYp46RNA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"About UsDailymail.com is the world’s largest English-language newspaper website with over 200 million monthly unique visitors. Our teams across the globe strive to provide our readers with engaging, fast and rolling news, 24/7, 365 days a year. With over 360 journalists worldwide we are seeking individuals who have an interest in joining a global media organization with excellent career development opportunities. Dailymail.com is seeking a a dedicated and dynamic Data Analyst who will play an integral role in powering data-driven decision-making across the organization.Key ResponsibilitiesData Infrastructure Management: Develop, operate, and maintain our data pipeline, data infrastructure, and reporting systems to inform critical business decisions.Dashboard Creation: Design and upkeep data visualization dashboards that grant access to essential data for various stakeholders.Data Integrity: Conduct regular data accuracy checks and resolve discrepancies to ensure the robust health of our data systems.Performance Analysis: Evaluate the efficiency and output of our commercial activities against crucial performance indicators.Revenue Optimization: Continuously analyze performance across multiple platforms, delivering inventive recommendations to internal teams aimed at enhancing performance and unlocking new revenue streams.Cross-Functional Collaboration: Engage in multidisciplinary projects, utilizing superior data modelling and analytics to glean insights that influence strategy and identify areas for improvement.Team Interaction: Collaborate closely with departments including Operations, Sales, Marketing, Finance, and Analytics to deliver exceptional customer service aligned with the objectives of DailyMail.com.Required Experience & SkillsBachelor’s degree in a quantitative or technical field such as Math, Engineering, Statistics, or Computer Science.Proficiency in Excel, SQL, Python, and Tableau is essential.Strong quantitative aptitude coupled with a creative, autonomous approach to problem-solving.Ability to work constructively in a team setting.Excellent project management abilities and multitasking skills to meet deadlines.Preferred QualificationsExperience in digital media and ad-tech sectors is a significant advantage.Familiarity with tools such as Airflow, Scala, Spark, PowerBI, Snowflake, and Java.Proficiency in Google Cloud Suite (Storage, Big Query, Compute Engine, Kubernetes Engine) and AWS (EC2, Redshift).



        
            Show more
          

          



        
            Show less"
Data Analyst,Thales,"Melbourne, FL",https://www.linkedin.com/jobs/view/data-analyst-at-thales-3839544443?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=UsY%2BTqsw6kYX%2F648cmFMsQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Location: Melbourne FL, United States of AmericaThales people architect solutions that enable two-thirds of planes to take off and land safely. We create in-flight entertainment systems that engross 50 million fliers every year and we develop the avionics that control the world’s largest commercial aircrafts. Our simulators train the next generation of pilots for fighter jets, transporters and search and rescue helicopters. And, together, each and every member of our aerospace team makes a difference.When you rely on airlines to connect you in flight, you rely on Thales. In an increasingly fast paced world, we make the unpredictable, predictable by connecting and entertain passengers to make your life better. Combining a diversity of talents, we master the decisive moments that matter to passengers and airlines. Whatever it takes.Data AnalystOrlando OR Melbourne, FL USA | (Hybrid)Position SummaryThales is looking for a Data Analyst to independently collaborate with designated global clients to craft and deliver contractual and system monitoring reports. These reports, essential for the Programs and Field Service teams, encompass diverse metrics such as Sales, Revenue Performance, System Availability, Dispatch Availability, and System Reliability. Your autonomy extends to working closely with departmental leaders and Data Miners, ensuring the accuracy of extracted datasets from aircraft systems and effectively visualizing report data through advanced business intelligence tools.In this position, you will act as a liaison and subject matter expert for the Operations Performance Reporting Team, you will play a pivotal role in generating ad-hoc reports tailored for the In-Service, Field Service, and Programs teams around the globe. This involves being able to determine priority for multiple deliverables and completing all items within allotted time allowed, highlighting your autonomous decision-making and strategic contribution to the broader business objectives.You will display Flexibility in Task Assignments by demonstrating adaptability and willingness to undertake additional tasks as directed by the department managers and leaders, showcasing a proactive and resourceful approach.This role, success hinges upon being proactive, resourceful, and fostering a collaborative environment while effectively collaborating with team members to achieve shared goals.Key Areas of ResponsibilityDeliver Production Reports to Customers by utilizing Thales System Performance Reporting Tools to independently manage the process of uploading crucial data onto Thales System Performance Reporting tools to generate comprehensive reports.Extracting and Modeling Data: Expertly extracting data from Thales tools and data warehouses, employing advanced data modeling techniques to format and present data for insightful review and analysis.Generating Contractual KPI Reports: Proficiently using Thales Business Intelligence Software to produce detailed and accurate contractual Key Performance Indicator (KPI) reports.Collaboration with Field Service Teams: Actively communicating and collaborating with Field Service teams to identify and address any anomalies or discrepancies in the data.Presenting Findings: Conveying recurring discoveries or indicators of suboptimal performance to Field Service and In-Service Engineering teams for thorough investigation and resolution.Support or Enhancement of Reporting Tools through identifying issues and opportunity for enhancements: Working closely with departmental leadership to pinpoint and resolve issues associated with existing reporting tools, contributing to their enhancement and optimization and Alpha User for Testing and Validation through Assuming the role of an Alpha User to rigorously test, validate, and review process flows for new reporting tools, ensuring their seamless integration and functionality.Minimum QualificationsA Bachelor's degree in Business, Engineering, Computer Science, or a related field, demonstrating a strong foundation in analytical and technical competencies is preferred.Candidates lacking a Bachelor's degree may have at least 5 years of practical hands-on experience in a relevant field, particularly in production reporting of operational performance indicators or related roles. This substantial experience should showcase a comprehensive understanding and proficiency equivalent to that acquired through formal education.A minimum of 1 year of hands-on experience in meticulously handling production reporting of operational performance indicators, showcasing a practical understanding of data analysis and reporting.Demonstrated knowledge and proficiency in using a variety of Business Intelligence Tools such as Crystal Reports, SQL Server Reporting Services, Tableau, PowerBI, or similar platforms. The ability to effectively leverage these tools to extract, analyze, and visualize data is essential.Proficiency in Microsoft Office suite tools, including Outlook, Word, Excel, etc., showcasing adeptness in handling data, creating reports, and communicating findings effectively.If you’re excited about working with Thales, but not meeting the requirements for this position, we encourage you to join our Talent Community!Special Position RequirementsSchedule: Core Business Hours Monday-Friday 8am – 5pm, etc.Travel: Travel as needed for workshops, training, or team development.Physical Environment: General Office Environment, Repair Center, and Distribution Center.Physical Demands: Standard Office Workspace Environment, including handling of general office equipment and working in or around the distribution center.Regulatory Compliance Requirements: None.What We OfferThales provides an extensive benefits program for all full-time employees working 30 or more hours per week and their eligible dependents, including the following:Elective Health and Dental plans. Retirement Savings Plan with a company contribution and a match, and without vesting period. Company paid holidays, vacation days, and paid sick leave. Company provided Life Insurance.Why Join Us?Say Hi and learn more about working at Thales click here.This position will require successfully completing a post-offer background check. Qualified candidates with [a] criminal history will be considered and are not automatically disqualified, consistent with federal law, state law, and local ordinances.Successful applicant must comply with federal contractor vaccine mandate requirements.Thales champions inclusion and we believe diversity strengthens the fabric of our culture. We are an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.If you need an accommodation or assistance in order to apply for a position with Thales, please contact us at talentacquisition@us.thalesgroup.com.



        
            Show more
          

          



        
            Show less"
Data Analyst,Robert Half,"San Mateo, CA",https://www.linkedin.com/jobs/view/data-analyst-at-robert-half-3833815434?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=wt2drn0CCdYRzQZ9uyMruw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Management Resources is seeking a highly skilled Data Analyst/Data Scientist to join our team for a critical project. In this role, you will be responsible for analyzing large datasets, extracting meaningful insights, and providing actionable recommendations to support key business initiatives. The ideal data analyst will use their passion for analytics to provide insights to our client covering a wide range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.  ResponsibilitiesCompile and analyze data related to business' issuesDevelop clear visualizations to convey complicated data in a straightforward fashionAnalyze complex datasets to identify trends, patterns, and correlations.Develop predictive models and algorithms to optimize business processes and drive decision-making.Collaborate with cross-functional teams to gather requirements and define analytical objectives.Interpret and communicate findings to stakeholders through clear and compelling visualizations and presentations.Continuously monitor and evaluate model performance, making adjustments as necessary to ensure accuracy and relevance.QualificationsBachelor's degree in computer science, statistics, mathematics, or a related field; master's degree preferred.Proven experience in data analysis, statistical modeling, and machine learning techniques.Proficiency in programming languages such as Python, R, or SQL.Strong analytical and problem-solving skills, with meticulous attention to detail.Excellent communication and interpersonal skills, with the ability to effectively collaborate with team members and stakeholders.



        
            Show more
          

          



        
            Show less"
Data Analyst,Bluehawk Consulting,"Washington, United States",https://www.linkedin.com/jobs/view/data-analyst-at-bluehawk-consulting-3836580566?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=pfiQ0xKi%2FfSv6EC7Xu0t%2Fw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"RemoteBluehawk Consulting is seeking a Data Analyst to support our client, an aerospace leader. Our client is making space travel possible, and your work will directly support putting people, research, and products safely in space.Project OverviewOur client’s Product Cost Management (PCM) team works with a cross functional team to establish, define, and maintain cost estimates for Product Lifecycle including production, support, and operation. Cost estimates are composed of material and labor for components and assemblies aggregated using indented bill of materials. PCM utilizes multiple methods and data sources to develop and manage these cost estimates.PCM requires assistance with data analytics which can be used for cost comparisons and reporting. The vendor team supporting this effort is composed of data analyst with a blend of business analysis, data analysis and data visualization skills.ResponsibilitiesOrganize, document, and report the cost data in multiple cross functional reports. Create and deploy queries, conduct data analysis, and produce reports and presentations to share critical insights with stakeholders. Oversee data migration or verify the accurate exchange of information between databases or systems. Develop analytical models that display trends and historical data to provide insights for cost improvement. Maintain the cross functional estimate data sharing across client’s systems. Required Skills & ExperienceMust be a U.S. citizen or national, U.S. permanent resident (current Green Card holder), or lawfully admitted into the U.S. as a refugee or granted asylum. Must be proficient at utilizing Excel and Tableau (Formulas, Tables, Pivots, Charts, etc.) Our Diverse and Inclusive Culture Bluehawk Consulting is a Kirkland, Washington-based management consulting firm helping Fortune 500 clients improve their performance, increase their efficiency, and enhance organizational value while reducing costs.We are a team who love to accomplish great things together!We excel at hiring talented people who are driven to create solutions for our client’s most challenging projects. Uniting amazing talent with meaningful work experiences is our passion; fostering an environment that embraces individuality and unique gifts embodies our values and fuels our purpose.We ValueOur diverse team, they make us great! Consultative, client-focused and interactive approaches Innovation, actualizing potential, and a positive outlook towards change and accepting challenges Learning, listening, and communicating openly with respect Passion, energy, zeal - we have lots of it Humor, lightness, and flexibility We care about creating a supportive environment and positive employee experience. Employees will receive competitive pay, health insurance, including medical, dental, and vision coverage (choose between our Base Plan with HSA or Buy-up PPO plan), 401(k) with company match, 12 paid holidays, and up to 15 days of paid time off (PTO) per year. We also offer life insurance and a short-term disability benefit.Salary Range for this position: $86,000 - $95,000Bluehawk is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.If this sounds like a place you'd like to learn more about, visit us at www.bluehawkconsulting.com



        
            Show more
          

          



        
            Show less"
Data Analyst,JCW,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-jcw-3837333493?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=N2qCLCitCHDrUYgM0K9dAQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"I'm working with an international investment bank that is seeking a Data Analyst who will help design, develop, and implement reports through PowerBI. The role will work closely with the compliance team and provide analytical reports for senior leadership. Must Haves - Experience within the financial services industry. Hands on experience in data analytics, dashboards, and reporting. Experience with PowerBI, or other data analytics tools.



        
            Show more
          

          



        
            Show less"
Data Analyst,Emonics LLC,"New Jersey, United States",https://www.linkedin.com/jobs/view/data-analyst-at-emonics-llc-3830360460?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=knrYwXcmXVLppSGsStbYyw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Extracting data from primary and secondary sources and removing corrupted dataEnsuring that the data is accurate and high-quality.Developing and managing data systems and databasesEstablishing KPIs that provide actionable insights.Using data to analyse trends that help inform business policies and decisions.Collaborating with engineers and developers to develop and streamline data governance strategies.



        
            Show more
          

          



        
            Show less"
Data Analyst (Superset),Get Well,"Bethesda, MD",https://www.linkedin.com/jobs/view/data-analyst-superset-at-get-well-3835766807?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=JUERE2Ux9B8Rhfd0yYRSWg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Title: Data Analyst (Superset)Reporting to: Managing Director, Data Science & Analytics / Head Data ScientistLocation: This is a remote / work from home positionOpportunity:The Data Analyst role will be responsible for ongoing and retrospective analyses of product and provider data, generating insights and creating custom data reports to evaluate the current state of patient experiences and outcomes, as well as to inform future opportunities. In conjunction with the Client Success team, the Data Analyst will be responsible for developing data frameworks; creating stories with data that review critical business processes; monitoring and reporting on progress at client sites; and performing investigations that inform operational changes and shape the vision of the team. Additionally, the Data Analyst role will work closely with the product and engineering teams to maintain and improve Get Well’s Business Intelligence (BI) capabilities. In particular, the Data Analyst will coordinate with engineers and product team members to ensure that Get Well’s data architecture and practices are aligned with the needs and goals of Client Success, and Get Well’s evolving technology platform.Responsibilities:Collect, analyze, and generate weekly/monthly data and reports for individual client sites, demonstrating current and cumulative performance Acquire, sanitize, merge, and transform complex multi-sourced data in support of various analyses and projects In conjunction with the Client Success team, review reporting processes, create and maintain dashboards and tools to track and inform team metrics across multiple client sitesModel Get Well’s core values of empathy and service to build trusted partnerships with provider organizations in order to achieve transformative change and exceptional performanceContinually iterate and improve Get Well’s service offering through genuinely innovative and transformative insight and product developmentRequirements:Bachelor’s degree in mathematics, science, statistics, or related fieldExpert skills in a Business Intelligence Platform - Superset strongly preferred but Tableau, Power BI, Looker, etc are acceptable - including at least one year of professional experience in manipulating data and creating dashboards and visualizationsStrong competency with SQL queryingStrong competency in Python or R is a plusCompetency with Google Sheets or Microsoft Excel, including pivot tables and advanced formulasEntrepreneurial mindsetStrong analytical skills with a proven ability to collect, organize, analyze, and disseminate significant amounts of informationAn exceptionally high attention to detail, natural curiosity, and an eye for recognizing trends and gaps2-3 years of industry relevant experience in analytics, data management, healthcare, consulting, or other relevant fieldsAbility to adapt to changing priorities and juggle multiple asksSelf-driven and able to operate with a high degree of independence and integrityExcellent written and oral presentation skills, with the ability to engage, inspire, build credibility and engender trust across all levels of an organizationAbout Get Well:We are a global digital health company with more than 20 years of experience improving patient engagement. Through partnerships with some of the most progressive hospitals and health systems in the world, we use digital technology to improve the healthcare experience for patients, their families, and clinicians.The estimated pay scale for this position is between $70,000 and $82,000 in base salary, plus annual bonus potential of 10%. Base salary is dependent upon many factors including, but not limited to, education, experience, and skills and this range is subject to change and may be modified in the future. In addition to compensation, Get Well offers a comprehensive benefit package, 401K and incentive plans, open paid-time away, paid leave programs, wellness reimbursement, cell phone subsidy, peer recognition programs, health advocacy and employee assistance programs, pet insurance, and so much more.Get Well is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age or veteran status.Powered by JazzHRYx7jqyzhn5
        


        
            Show more
          

          



        
            Show less"
Data Analyst,Zealthy,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-zealthy-3836394065?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=zraNswIjg31NQF5XJscUNA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"About Us:Zealthy is a telemedicine company on a mission to provide critical healthcare services to all who need them. We seek to build the world's largest and highest quality telemedicine company and fundamentally expand access to high-quality care.While the Founder was most recently Founder and CEO at a unicorn healthcare company where he scaled to hundreds of thousands of patients, the full-time team is currently only 10 people. The company is focused on sustainable growth, and the company is growing quickly to achieve its mission.We work hard at Zealthy to ensure that patients can access high-quality healthcare from anywhere. This means working Monday-Friday in the office. Hours tend to be longer than at most companies because we work hard to serve our patients and make sure that we can achieve our mission of building the world's largest and highest quality telemedicine company.The culture is focused on what we can do to serve our patients and all full-time members of the team will be equity holders in the business, as we firmly believe that all team members should be literal and figurative owners in what we are building.We are currently seeking a full-time Data Analyst. Please note that this position will start out in person in our Miami Beach office, and then transfer to our NYC office once it opens.What You’ll Do:Set up initial data stack for the team.Collect, clean, and analyze large datasets to extract meaningful insights. Utilize statistical methods to interpret data trends and patterns.Create clear and concise reports and dashboards to communicate data-driven insights to various stakeholders.Ensure data accuracy and reliability by developing and implementing data quality checks. Identify and address data discrepancies or anomalies.Create clear and concise reports and dashboards to communicate data-driven insights to various stakeholders.Collaborate with cross-functional teams to understand business requirements and provide analytical support for decision-making. Identify opportunities for improvements and optimizations.Develop and implement predictive models to forecast trends and support future business planning. Continuously refine and enhance models based on feedback and evolving business needs.Discover hidden patterns and trends within large datasets to inform strategic business decisions.Conduct exploratory data analysis to uncover insights and opportunities.What You’ll Bring:Must have experience with SQL.Bachelor's degree in a related field such as Statistics, Mathematics, Computer Science, or a related quantitative discipline.At least of 1 year of experience in management consulting, investment banking, data, or at a startup.Strong analytical and problem-solving skills, with attention to detail.Excellent communication skills with the ability to convey complex findings in a clear and understandable manner.Familiarity with database management and data warehousing concepts.Knowledge of statistical methods and predictive modeling techniques.



        
            Show more
          

          



        
            Show less"
Data Analyst,Tree of Wally (ω),United States,https://www.linkedin.com/jobs/view/data-analyst-at-tree-of-wally-%CF%89-3826836903?refId=7ODNLfGKnYRe3hJP1w9DIw%3D%3D&trackingId=EG84kRiv5IU6d%2Fs86CjAlQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Tree of Wally is creating a virtuous data market so users retain a financial interest in their data when it is used. We are developing a new End User License Agreement - the Enlightened EULA - and nuanced copyright license for compatible software. Position: Data AnalystCompany: Tree of WallyLocation: RemoteJob Type: Volunteer (unpaid for now)Commitment: Up to youWe are looking for a data analyst with experience in visual presentation, data analysis, economics, project management, entrepreneurship, and systems of value. We will work together to unlock the potential of the hidden data economy with a high regard to consumer financial interests. Learn more on our Wiki: https://doc.clickup.com/9014134951/p/h/8cmhj57-94/21dc3d000a29da6ResponsibilitiesPresent data visually to consumers and in a management dashboardEvaluate the economic system that we are creating, including user behavior and data-credit unit of valueHigh use of your intuition, insight and judgmentWork alongside the founding team, including back- and front-end engineers and devopsTeam contributions in an early startup environmentParticipate in fundraising discussions with investors as neededExperience in the sports sector (special emphasis on 2024 Olympics) and influencers is a plusQualificationsData analysis and visual presentationEntrepreneurial personality and out of the box thinkingInterests in data empowerment and the implications of EULA and copyright licensesStrong moral compassTop 1% networkers wanted



        
            Show more
          

          



        
            Show less"
